userID,friendID,value
2,275,1
2,428,1
2,515,1
2,761,1
2,831,1
2,909,1
2,1209,1
2,1210,1
2,1230,1
2,1327,1
2,1585,1
2,1625,1
2,1869,1
3,78,1
3,255,1
3,460,1
3,837,1
3,1740,1
3,1801,1
3,1975,1
4,99,1
4,124,1
4,211,1
4,264,1
4,493,1
4,520,1
4,534,1
4,850,1
4,1103,1
4,2080,1
5,228,1
5,725,1
5,831,1
5,1271,1
5,1310,1
5,1481,1
5,1785,1
6,149,1
6,831,1
6,1271,1
6,1697,1
6,1761,1
7,46,1
7,232,1
7,390,1
7,545,1
7,815,1
7,873,1
7,1002,1
7,1135,1
7,1184,1
7,1308,1
7,1453,1
7,1466,1
7,1649,1
7,1666,1
7,1734,1
7,2020,1
7,2037,1
7,2061,1
8,339,1
8,370,1
8,419,1
8,749,1
8,831,1
8,1017,1
8,1178,1
8,1515,1
8,1568,1
8,1811,1
8,1813,1
9,743,1
9,831,1
9,1956,1
10,1196,1
10,1498,1
10,1530,1
10,1562,1
10,1986,1
11,12,1
11,25,1
11,129,1
11,136,1
11,145,1
11,230,1
11,278,1
11,405,1
11,684,1
11,795,1
11,804,1
11,816,1
11,859,1
11,984,1
11,1017,1
11,1132,1
11,1136,1
11,1178,1
11,1179,1
11,1189,1
11,1310,1
11,1475,1
11,1577,1
11,1684,1
11,1766,1
11,1780,1
11,1828,1
11,2004,1
11,2021,1
12,11,1
12,46,1
12,127,1
12,133,1
12,146,1
12,236,1
12,240,1
12,258,1
12,400,1
12,545,1
12,593,1
12,684,1
12,730,1
12,797,1
12,861,1
12,930,1
12,941,1
12,998,1
12,1023,1
12,1056,1
12,1088,1
12,1145,1
12,1146,1
12,1253,1
12,1272,1
12,1308,1
12,1346,1
12,1348,1
12,1368,1
12,1455,1
12,1568,1
12,1628,1
12,1636,1
12,1709,1
12,1726,1
12,1776,1
12,1820,1
12,1895,1
12,2004,1
12,2020,1
13,390,1
13,405,1
13,481,1
13,732,1
13,816,1
13,1135,1
13,1184,1
13,1659,1
13,1766,1
13,1780,1
13,2041,1
14,608,1
14,642,1
14,754,1
14,1258,1
14,1357,1
14,1554,1
14,1702,1
14,1761,1
15,122,1
15,143,1
15,237,1
15,266,1
15,416,1
15,454,1
15,771,1
15,1243,1
15,1258,1
15,1281,1
15,1383,1
15,1498,1
15,1556,1
15,1625,1
15,1662,1
15,1785,1
15,1805,1
15,1879,1
15,1993,1
15,2025,1
15,2036,1
16,143,1
16,252,1
16,339,1
16,437,1
16,545,1
16,701,1
16,726,1
16,732,1
16,743,1
16,790,1
16,815,1
16,1226,1
16,1263,1
16,1503,1
16,1567,1
16,1568,1
16,1632,1
16,1665,1
16,1706,1
16,1833,1
16,1895,1
16,1937,1
16,2000,1
16,2068,1
17,330,1
17,339,1
17,593,1
17,632,1
17,1071,1
17,1661,1
17,1917,1
18,298,1
18,308,1
18,401,1
18,475,1
18,675,1
18,1183,1
18,1302,1
18,1424,1
18,1458,1
18,1465,1
20,1281,1
20,1891,1
21,207,1
21,1023,1
21,1233,1
21,1305,1
21,1515,1
21,1568,1
21,1646,1
21,1811,1
21,1993,1
22,59,1
22,80,1
22,170,1
22,198,1
22,349,1
22,395,1
22,655,1
22,831,1
22,903,1
22,1249,1
22,1362,1
22,1543,1
22,1589,1
22,1865,1
22,2000,1
23,107,1
23,1258,1
24,136,1
24,150,1
24,231,1
24,329,1
24,361,1
24,390,1
24,417,1
24,419,1
24,435,1
24,502,1
24,675,1
24,732,1
24,804,1
24,831,1
24,898,1
24,1017,1
24,1027,1
24,1033,1
24,1102,1
24,1184,1
24,1233,1
24,1308,1
24,1590,1
24,1722,1
24,1869,1
24,1973,1
25,11,1
25,236,1
25,310,1
25,390,1
25,463,1
25,636,1
25,726,1
25,852,1
25,1027,1
25,1113,1
25,1222,1
25,1308,1
25,1466,1
25,1552,1
25,1647,1
25,1662,1
25,2020,1
25,2056,1
26,212,1
26,1094,1
26,1642,1
26,1986,1
26,2041,1
27,758,1
27,831,1
27,1956,1
27,2036,1
28,2025,1
29,946,1
30,133,1
30,136,1
30,229,1
30,390,1
30,487,1
30,501,1
30,638,1
30,751,1
30,1130,1
30,1132,1
30,1263,1
30,1283,1
30,1455,1
30,1503,1
30,1590,1
30,1614,1
30,2020,1
31,62,1
31,99,1
31,210,1
31,211,1
31,218,1
31,306,1
31,371,1
31,396,1
31,474,1
31,499,1
31,520,1
31,534,1
31,575,1
31,658,1
31,762,1
31,859,1
31,954,1
31,1081,1
31,1163,1
31,1164,1
31,1173,1
31,1213,1
31,1255,1
31,1343,1
31,1514,1
31,1653,1
31,1835,1
31,2097,1
32,889,1
32,1258,1
32,1474,1
32,1486,1
32,1905,1
33,282,1
33,457,1
33,496,1
33,750,1
33,845,1
33,1231,1
33,1779,1
34,1498,1
35,972,1
36,525,1
36,747,1
36,949,1
37,59,1
37,122,1
37,142,1
37,1249,1
37,1660,1
37,1662,1
37,1879,1
38,383,1
39,78,1
39,1125,1
39,1543,1
39,2003,1
40,78,1
40,135,1
40,142,1
40,161,1
40,325,1
40,1089,1
40,1393,1
40,1543,1
40,1841,1
40,2003,1
40,2055,1
41,84,1
41,107,1
42,545,1
42,1778,1
43,143,1
43,172,1
43,179,1
43,193,1
43,260,1
43,310,1
43,419,1
43,463,1
43,481,1
43,615,1
43,637,1
43,658,1
43,691,1
43,743,1
43,757,1
43,859,1
43,1013,1
43,1076,1
43,1084,1
43,1167,1
43,1410,1
43,1469,1
43,1491,1
43,1503,1
43,1785,1
43,2006,1
44,319,1
44,485,1
44,972,1
44,1138,1
44,1152,1
44,1240,1
44,1381,1
45,46,1
45,49,1
45,240,1
45,271,1
45,400,1
45,413,1
45,514,1
45,518,1
45,537,1
45,542,1
45,589,1
45,1056,1
45,1080,1
45,1253,1
46,7,1
46,12,1
46,45,1
46,47,1
46,121,1
46,132,1
46,146,1
46,158,1
46,214,1
46,226,1
46,227,1
46,231,1
46,232,1
46,236,1
46,248,1
46,253,1
46,271,1
46,280,1
46,302,1
46,318,1
46,322,1
46,335,1
46,355,1
46,362,1
46,400,1
46,413,1
46,415,1
46,419,1
46,497,1
46,527,1
46,531,1
46,536,1
46,537,1
46,561,1
46,569,1
46,593,1
46,609,1
46,684,1
46,690,1
46,702,1
46,717,1
46,732,1
46,757,1
46,814,1
46,815,1
46,830,1
46,862,1
46,864,1
46,875,1
46,882,1
46,911,1
46,930,1
46,1023,1
46,1053,1
46,1080,1
46,1135,1
46,1145,1
46,1253,1
46,1278,1
46,1304,1
46,1356,1
46,1365,1
46,1369,1
46,1413,1
46,1447,1
46,1453,1
46,1478,1
46,1568,1
46,1600,1
46,1628,1
46,1636,1
46,1674,1
46,1687,1
46,1742,1
46,1810,1
46,1821,1
46,1880,1
46,1895,1
46,1954,1
46,1973,1
46,2004,1
46,2018,1
46,2037,1
46,2054,1
47,46,1
47,58,1
47,132,1
47,248,1
47,298,1
47,390,1
47,400,1
47,437,1
47,470,1
47,758,1
47,831,1
47,984,1
47,1102,1
47,1145,1
47,1445,1
47,1453,1
47,1469,1
47,1471,1
47,1568,1
47,1603,1
47,1636,1
47,1687,1
47,2018,1
48,58,1
48,214,1
48,271,1
48,413,1
48,499,1
48,518,1
48,558,1
48,730,1
48,732,1
48,963,1
48,1014,1
48,1023,1
48,1033,1
48,1247,1
48,1343,1
48,1478,1
48,1560,1
48,1568,1
48,1616,1
48,1648,1
48,1856,1
48,1859,1
48,1979,1
49,45,1
49,87,1
49,133,1
49,179,1
49,190,1
49,253,1
49,311,1
49,329,1
49,413,1
49,538,1
49,561,1
49,569,1
49,572,1
49,691,1
49,723,1
49,847,1
49,884,1
49,1002,1
49,1007,1
49,1071,1
49,1102,1
49,1113,1
49,1249,1
49,1253,1
49,1332,1
49,1337,1
49,1356,1
49,1433,1
49,1434,1
49,1466,1
49,1509,1
49,1543,1
49,1563,1
49,1600,1
49,1632,1
49,1753,1
49,1803,1
49,1880,1
49,1961,1
49,1983,1
49,2071,1
50,125,1
50,195,1
50,298,1
50,712,1
50,794,1
50,831,1
50,1258,1
50,1503,1
51,59,1
51,107,1
51,127,1
51,157,1
51,202,1
51,208,1
51,340,1
51,395,1
51,491,1
51,499,1
51,534,1
51,548,1
51,677,1
51,709,1
51,731,1
51,752,1
51,859,1
51,864,1
51,971,1
51,1020,1
51,1214,1
51,1258,1
51,1281,1
51,1287,1
51,1380,1
51,1527,1
51,1530,1
51,1553,1
51,1586,1
51,1671,1
51,1818,1
51,1964,1
51,1968,1
51,1978,1
51,2008,1
52,153,1
52,1741,1
53,120,1
53,231,1
53,310,1
53,390,1
53,405,1
53,704,1
53,859,1
53,1356,1
53,1476,1
53,1503,1
53,1917,1
54,333,1
54,545,1
54,873,1
54,1308,1
54,1666,1
54,2031,1
55,1382,1
56,254,1
56,478,1
56,668,1
56,1067,1
56,1138,1
56,1488,1
56,1530,1
56,1597,1
57,101,1
57,129,1
57,132,1
57,146,1
57,198,1
57,202,1
57,226,1
57,233,1
57,247,1
57,351,1
57,385,1
57,532,1
57,797,1
57,844,1
57,941,1
57,946,1
57,952,1
57,986,1
57,1054,1
57,1346,1
57,1351,1
57,1521,1
57,1528,1
57,1730,1
57,1780,1
57,2020,1
57,2054,1
58,47,1
58,48,1
58,59,1
58,120,1
58,133,1
58,179,1
58,203,1
58,231,1
58,258,1
58,310,1
58,338,1
58,385,1
58,399,1
58,400,1
58,415,1
58,425,1
58,437,1
58,514,1
58,527,1
58,534,1
58,536,1
58,538,1
58,571,1
58,593,1
58,620,1
58,634,1
58,636,1
58,646,1
58,680,1
58,703,1
58,730,1
58,795,1
58,816,1
58,878,1
58,884,1
58,911,1
58,941,1
58,963,1
58,1017,1
58,1023,1
58,1053,1
58,1056,1
58,1080,1
58,1113,1
58,1128,1
58,1145,1
58,1150,1
58,1189,1
58,1247,1
58,1294,1
58,1300,1
58,1343,1
58,1348,1
58,1356,1
58,1365,1
58,1385,1
58,1447,1
58,1453,1
58,1457,1
58,1525,1
58,1560,1
58,1616,1
58,1628,1
58,1648,1
58,1666,1
58,1813,1
58,1851,1
58,1869,1
58,1954,1
58,1965,1
58,1979,1
58,2000,1
58,2004,1
58,2018,1
58,2037,1
58,2059,1
58,2072,1
59,22,1
59,37,1
59,51,1
59,58,1
59,193,1
59,265,1
59,371,1
59,388,1
59,424,1
59,433,1
59,439,1
59,454,1
59,455,1
59,481,1
59,499,1
59,520,1
59,621,1
59,655,1
59,691,1
59,759,1
59,831,1
59,899,1
59,969,1
59,979,1
59,999,1
59,1062,1
59,1125,1
59,1164,1
59,1213,1
59,1236,1
59,1281,1
59,1310,1
59,1343,1
59,1358,1
59,1362,1
59,1503,1
59,1543,1
59,1603,1
59,1625,1
59,1635,1
59,1737,1
59,1956,1
59,2000,1
59,2006,1
59,2016,1
59,2025,1
59,2036,1
60,78,1
60,1087,1
60,2051,1
61,1006,1
61,1533,1
62,31,1
62,210,1
62,266,1
62,442,1
62,575,1
62,665,1
62,831,1
62,1062,1
62,1164,1
62,1165,1
62,1213,1
62,1230,1
62,1514,1
62,1662,1
62,1728,1
62,1835,1
62,2036,1
62,2080,1
63,85,1
63,114,1
63,676,1
63,738,1
63,753,1
63,865,1
63,890,1
63,950,1
63,986,1
63,1174,1
63,1206,1
63,1258,1
63,1275,1
63,1396,1
63,1978,1
63,2077,1
64,405,1
64,407,1
64,636,1
64,1210,1
64,1625,1
64,1641,1
64,1761,1
64,1907,1
65,118,1
65,1107,1
65,1312,1
65,1613,1
65,1734,1
66,359,1
66,430,1
66,452,1
66,683,1
66,699,1
66,1029,1
66,1210,1
66,1258,1
66,1454,1
68,136,1
68,242,1
68,339,1
68,361,1
68,1132,1
68,1179,1
69,168,1
69,619,1
69,1194,1
69,1404,1
70,670,1
70,789,1
70,895,1
70,1005,1
70,1025,1
70,1574,1
71,212,1
71,891,1
71,1324,1
71,1543,1
72,1017,1
72,1247,1
72,1278,1
72,1869,1
73,761,1
73,850,1
73,1010,1
73,1038,1
73,1209,1
73,1210,1
73,1883,1
73,2061,1
74,533,1
74,1299,1
74,1852,1
74,2085,1
75,302,1
75,315,1
75,383,1
75,470,1
75,674,1
75,1304,1
75,1603,1
75,1646,1
75,1664,1
75,1742,1
75,1856,1
76,527,1
76,726,1
76,1706,1
76,1956,1
77,594,1
77,655,1
77,986,1
77,1724,1
78,3,1
78,39,1
78,40,1
78,60,1
78,91,1
78,105,1
78,106,1
78,112,1
78,135,1
78,153,1
78,155,1
78,190,1
78,255,1
78,257,1
78,262,1
78,360,1
78,438,1
78,444,1
78,447,1
78,454,1
78,468,1
78,506,1
78,512,1
78,519,1
78,548,1
78,550,1
78,552,1
78,657,1
78,666,1
78,695,1
78,718,1
78,729,1
78,802,1
78,805,1
78,823,1
78,837,1
78,874,1
78,908,1
78,909,1
78,914,1
78,926,1
78,928,1
78,935,1
78,936,1
78,951,1
78,1024,1
78,1026,1
78,1098,1
78,1101,1
78,1149,1
78,1181,1
78,1211,1
78,1273,1
78,1284,1
78,1315,1
78,1357,1
78,1393,1
78,1403,1
78,1557,1
78,1575,1
78,1601,1
78,1604,1
78,1619,1
78,1621,1
78,1719,1
78,1722,1
78,1732,1
78,1740,1
78,1774,1
78,1801,1
78,1827,1
78,1841,1
78,1883,1
78,1890,1
78,1892,1
78,1995,1
78,2003,1
78,2006,1
78,2028,1
78,2046,1
78,2066,1
79,120,1
79,133,1
79,144,1
79,214,1
79,232,1
79,258,1
79,260,1
79,302,1
79,310,1
79,339,1
79,390,1
79,400,1
79,414,1
79,421,1
79,437,1
79,479,1
79,481,1
79,486,1
79,499,1
79,514,1
79,534,1
79,536,1
79,593,1
79,723,1
79,730,1
79,749,1
79,759,1
79,847,1
79,858,1
79,941,1
79,1001,1
79,1022,1
79,1113,1
79,1248,1
79,1294,1
79,1343,1
79,1346,1
79,1503,1
79,1515,1
79,1741,1
79,1769,1
79,1856,1
79,1954,1
79,2018,1
79,2059,1
79,2087,1
80,22,1
80,170,1
80,192,1
80,225,1
80,261,1
80,349,1
80,582,1
80,931,1
80,1296,1
80,1479,1
80,1501,1
80,1599,1
80,1877,1
81,921,1
81,1507,1
82,1527,1
83,1342,1
83,1386,1
83,1459,1
84,41,1
84,202,1
84,890,1
84,1064,1
85,63,1
85,157,1
85,225,1
85,433,1
85,696,1
85,828,1
85,912,1
85,1258,1
85,1281,1
85,1380,1
85,1488,1
85,1627,1
85,1935,1
86,1418,1
86,1679,1
87,49,1
87,315,1
87,621,1
87,691,1
87,770,1
87,1007,1
87,1057,1
87,1632,1
87,2071,1
88,1938,1
89,152,1
89,723,1
90,595,1
90,753,1
90,1106,1
90,1310,1
90,1588,1
90,2016,1
90,2036,1
91,78,1
91,708,1
91,802,1
91,1258,1
92,639,1
94,1258,1
94,1656,1
94,1708,1
94,1905,1
95,527,1
95,671,1
95,701,1
95,966,1
95,1104,1
95,1369,1
96,128,1
96,428,1
96,761,1
96,1210,1
96,1670,1
97,1741,1
98,120,1
98,198,1
98,400,1
98,413,1
98,514,1
98,593,1
98,691,1
98,701,1
98,778,1
98,781,1
98,1253,1
98,1649,1
99,4,1
99,31,1
99,124,1
99,191,1
99,210,1
99,211,1
99,298,1
99,304,1
99,306,1
99,371,1
99,396,1
99,446,1
99,460,1
99,499,1
99,520,1
99,566,1
99,575,1
99,577,1
99,650,1
99,665,1
99,686,1
99,762,1
99,767,1
99,859,1
99,954,1
99,1163,1
99,1164,1
99,1165,1
99,1173,1
99,1213,1
99,1255,1
99,1319,1
99,1343,1
99,1514,1
99,1595,1
99,1642,1
99,1653,1
99,1835,1
99,2080,1
100,1258,1
101,57,1
101,198,1
101,202,1
101,247,1
101,532,1
101,964,1
101,986,1
101,1088,1
101,1161,1
101,1267,1
101,1388,1
